,character,dialogue,neg,pos,neu,compound,tokens,words
63,THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.,0.0,0.153,0.847,0.2023,"['artoo', 'says', 'the', 'chances', 'of', 'survival', 'are', 'seven', 'hundred', 'to', 'one']",0.08396946564885496
64,THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being.",0.0,0.32,0.68,0.9042,"['actually', 'artoo', 'has', 'been', 'known', 'to', 'make', 'mistakes', 'from', 'time', 'to', 'time', 'oh', 'dear', 'oh', 'dear', 'do', 'worry', 'about', 'master', 'luke', 'i', 'sure', 'he', 'be', 'all', 'right', 'he', 'quite', 'clever', 'you', 'know', 'for', 'a', 'human', 'being']",0.2748091603053435
65,BEN,Luke...Luke.,0.0,0.0,1.0,0.0,"['luke', 'luke']",0.015267175572519083
67,BEN,You will go to the Dagobah system.,0.0,0.0,1.0,0.0,"['you', 'will', 'go', 'to', 'the', 'dagobah', 'system']",0.05343511450381679
68,LUKE,Dagobah system?,0.0,0.0,1.0,0.0,"['dagobah', 'system']",0.015267175572519083
69,BEN,"There you will learn from Yoda, the Jedi Master who instructed  me.",0.0,0.0,1.0,0.0,"['there', 'you', 'will', 'learn', 'from', 'yoda', 'the', 'jedi', 'master', 'who', 'instructed', 'me']",0.0916030534351145
70,LUKE,Ben...Ben.,0.0,0.0,1.0,0.0,"['ben', 'ben']",0.015267175572519083
71,HAN,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here.",0.0,0.0,1.0,0.0,"['luke', 'luke', 'do', 'do', 'this', 'luke', 'come', 'on', 'give', 'me', 'a', 'sign', 'here']",0.09923664122137404
72,HAN,Not much time.,0.0,0.0,1.0,0.0,"['not', 'much', 'time']",0.022900763358778626
73,LUKE,Ben...Ben...,0.0,0.0,1.0,0.0,"['ben', 'ben']",0.015267175572519083
74,HAN,"Hang on, kid.",0.0,0.0,1.0,0.0,"['hang', 'on', 'kid']",0.022900763358778626
75,LUKE,Dagobah system...,0.0,0.0,1.0,0.0,"['dagobah', 'system']",0.015267175572519083
78,HAN,"This may smell bad, kid...",0.467,0.0,0.533,-0.5423,"['this', 'may', 'smell', 'bad', 'kid']",0.03816793893129771
80,HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside!,0.182,0.0,0.818,-0.5848,"['but', 'it', 'will', 'keep', 'you', 'warm', 'til', 'i', 'get', 'the', 'shelter', 'built', 'ooh', 'i', 'thought', 'they', 'smelled', 'bad', 'on', 'the', 'outside']",0.16030534351145037
81,HAN,Good morning. Nice of you guys to  drop by.,0.152,0.413,0.435,0.5574,"['good', 'morning', 'nice', 'of', 'you', 'guys', 'to', 'drop', 'by']",0.06870229007633588
82,THREEPIO,"Master Luke, sir, it's good to see you fully functional  again.",0.0,0.225,0.775,0.4404,"['master', 'luke', 'sir', 'it', 'good', 'to', 'see', 'you', 'fully', 'functional', 'again']",0.08396946564885496
83,THREEPIO,"Artoo expresses his relief, also.",0.0,0.437,0.563,0.4767,"['artoo', 'expresses', 'his', 'relief', 'also']",0.03816793893129771
84,HAN,"How are you feeling, kid? You don't look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark.",0.148,0.158,0.693,-0.1757,"['how', 'are', 'you', 'feeling', 'kid', 'you', 'do', 'look', 'so', 'bad', 'to', 'me', 'in', 'fact', 'you', 'look', 'strong', 'enough', 'to', 'pull', 'the', 'ears', 'off', 'a', 'gundark']",0.19083969465648856
85,LUKE,Thanks to you.,0.0,0.592,0.408,0.4404,"['thanks', 'to', 'you']",0.022900763358778626
86,HAN,"That's two you owe me, junior.",0.0,0.0,1.0,0.0,"['that', 'two', 'you', 'owe', 'me', 'junior']",0.04580152671755725
87,HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer.",0.0,0.362,0.638,0.7003,"['well', 'your', 'worship', 'looks', 'like', 'you', 'managed', 'to', 'keep', 'me', 'around', 'for', 'a', 'little', 'while', 'longer']",0.12213740458015267
88,LEIA,I had nothing to do with it. General Rieekan thinks  it's dangerous for any ships to leave the system until we've activated the energy shield.,0.157,0.077,0.766,-0.296,"['i', 'had', 'nothing', 'to', 'do', 'with', 'it', 'general', 'rieekan', 'thinks', 'it', 'dangerous', 'for', 'any', 'ships', 'to', 'leave', 'the', 'system', 'until', 'we', 'activated', 'the', 'energy', 'shield']",0.19083969465648856
89,HAN,That's a good story. I think you just can't bear to let a  gorgeous guy like me out of your sight.,0.0,0.385,0.615,0.8555,"['that', 'a', 'good', 'story', 'i', 'think', 'you', 'just', 'ca', 'bear', 'to', 'let', 'a', 'gorgeous', 'guy', 'like', 'me', 'out', 'of', 'your', 'sight']",0.16030534351145037
90,LEIA,"I don't know where you get you delusions, laser brain.",0.0,0.0,1.0,0.0,"['i', 'do', 'know', 'where', 'you', 'get', 'you', 'delusions', 'laser', 'brain']",0.07633587786259542
91,HAN,"Laugh it up, fuzz ball. But you didn't see us alone in the south  passage.",0.0,0.253,0.747,0.5283,"['laugh', 'it', 'up', 'fuzz', 'ball', 'but', 'you', 'did', 'see', 'us', 'alone', 'in', 'the', 'south', 'passage']",0.11450381679389313
92,HAN,She expressed her true feelings for me.,0.0,0.318,0.682,0.4215,"['she', 'expressed', 'her', 'true', 'feelings', 'for', 'me']",0.05343511450381679
93,LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!",0.341,0.0,0.659,-0.3786,"['my', 'why', 'you', 'stuck', 'up']",0.03816793893129771
94,HAN,"Who's scruffy-looking?  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?",0.0,0.242,0.758,0.7236,"['who', 'i', 'must', 'have', 'hit', 'her', 'pretty', 'close', 'to', 'the', 'mark', 'to', 'get', 'her', 'all', 'riled', 'up', 'like', 'that', 'huh', 'kid']",0.16030534351145037
95,LEIA,"Why, I guess you don't know everything about women yet?",0.0,0.0,1.0,0.0,"['why', 'i', 'guess', 'you', 'do', 'know', 'everything', 'about', 'women', 'yet']",0.07633587786259542
96,HAN,Take it easy.,0.0,0.592,0.408,0.4404,"['take', 'it', 'easy']",0.022900763358778626
97,THREEPIO,"Excuse us, please.",0.0,0.783,0.217,0.3818,"['excuse', 'us', 'please']",0.022900763358778626
98,LEIA,Then it couldn't be one of those creatures that attacked Luke.,0.231,0.0,0.769,-0.4588,"['then', 'it', 'could', 'be', 'one', 'of', 'those', 'creatures', 'that', 'attacked', 'luke']",0.08396946564885496
99,HAN,"It could be a speeder, one of ours.",0.0,0.0,1.0,0.0,"['it', 'could', 'be', 'a', 'speeder', 'one', 'of', 'ours']",0.061068702290076333
100,THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code.",0.0,0.0,1.0,0.0,"['sir', 'i', 'am', 'fluent', 'in', 'six', 'million', 'forms', 'of', 'communication', 'this', 'signal', 'is', 'not', 'used', 'by', 'the', 'alliance', 'it', 'could', 'be', 'an', 'imperial', 'code']",0.183206106870229
101,HAN,"It isn't friendly, whatever it is. Come on, Chewie, let's check  it out.",0.18,0.0,0.82,-0.3875,"['it', 'is', 'friendly', 'whatever', 'it', 'is', 'come', 'on', 'chewie', 'let', 'check', 'it', 'out']",0.09923664122137404
102,HAN,Afraid there's not much left.,0.0,0.0,1.0,0.0,"['afraid', 'there', 'not', 'much', 'left']",0.03816793893129771
103,LEIA,What was it?,0.0,0.0,1.0,0.0,"['what', 'was', 'it']",0.022900763358778626
104,HAN,Droid of some kind. I didn't hit it that hard. It  must have had a self-destruct.,0.083,0.202,0.714,0.4588,"['droid', 'of', 'some', 'kind', 'i', 'did', 'hit', 'it', 'that', 'hard', 'it', 'must', 'have', 'had', 'a']",0.11450381679389313
105,LEIA,An Imperial probe droid.,0.0,0.0,1.0,0.0,"['an', 'imperial', 'probe', 'droid']",0.030534351145038167
106,HAN,It's a good bet the Empire knows we're here.,0.0,0.293,0.707,0.4404,"['it', 'a', 'good', 'bet', 'the', 'empire', 'knows', 'we', 'here']",0.06870229007633588
107,VADER,You found something?,0.0,0.0,1.0,0.0,"['you', 'found', 'something']",0.022900763358778626
108,VADER,That's it. The  Rebels are there.,0.265,0.0,0.735,-0.2023,"['that', 'it', 'the', 'rebels', 'are', 'there']",0.04580152671755725
109,VADER,"That is the system. And I'm sure Skywalker is with them. Set  your course for the Hoth system. General Veers, prepare you men.",0.0,0.095,0.905,0.3182,"['that', 'is', 'the', 'system', 'and', 'i', 'sure', 'skywalker', 'is', 'with', 'them', 'set', 'your', 'course', 'for', 'the', 'hoth', 'system', 'general', 'veers', 'prepare', 'you', 'men']",0.17557251908396945
110,HAN,"Okay, that's it. Try it...Off! Turn it  off! Turn it off! Off!",0.0,0.218,0.782,0.471,"['okay', 'that', 'it', 'try', 'it', 'off', 'turn', 'it', 'off', 'turn', 'it', 'off', 'off']",0.09923664122137404
111,LUKE,"Well, forget the heavy equipment. There's plenty of time to get  the smaller modules on the transports.",0.1,0.111,0.789,0.0516,"['well', 'forget', 'the', 'heavy', 'equipment', 'there', 'plenty', 'of', 'time', 'to', 'get', 'the', 'smaller', 'modules', 'on', 'the', 'transports']",0.1297709923664122
113,LUKE,"Chewie, take care of yourself, okay?",0.0,0.56,0.44,0.6249,"['chewie', 'take', 'care', 'of', 'yourself', 'okay']",0.04580152671755725
114,HAN,"Hi, kid.  There's got to be a reason for it. Check it  at the other end. Wait a second.  You all right?",0.0,0.0,1.0,0.0,"['hi', 'kid', 'there', 'got', 'to', 'be', 'a', 'reason', 'for', 'it', 'check', 'it', 'at', 'the', 'other', 'end', 'wait', 'a', 'second', 'you', 'all', 'right']",0.16793893129770993
116,HAN,Be careful.,0.0,0.615,0.385,0.1531,"['be', 'careful']",0.015267175572519083
117,LUKE,"You, too.",0.0,0.0,1.0,0.0,"['you', 'too']",0.015267175572519083
118,VADER,"What is it, General?",0.0,0.0,1.0,0.0,"['what', 'is', 'it', 'general']",0.030534351145038167
119,VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.,0.09,0.114,0.796,0.128,"['the', 'rebels', 'are', 'alerted', 'to', 'our', 'presence', 'admiral', 'ozzel', 'came', 'out', 'of', 'too', 'close', 'to', 'the', 'system']",0.1297709923664122
120,VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack.",0.333,0.0,0.667,-0.7579,"['he', 'is', 'as', 'clumsy', 'as', 'he', 'is', 'stupid', 'general', 'prepare', 'your', 'troops', 'for', 'a', 'surface', 'attack']",0.12213740458015267
121,VADER,"You have failed me for the last time, Admiral. Captain Piett.",0.226,0.158,0.616,-0.25,"['you', 'have', 'failed', 'me', 'for', 'the', 'last', 'time', 'admiral', 'captain', 'piett']",0.08396946564885496
122,VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.",0.0,0.216,0.784,0.7096,"['make', 'ready', 'to', 'land', 'out', 'troops', 'beyond', 'the', 'energy', 'shield', 'and', 'deploy', 'the', 'fleet', 'so', 'that', 'nothing', 'gets', 'off', 'that', 'system', 'you', 'are', 'in', 'command', 'now', 'admiral', 'piett']",0.21374045801526717
123,LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports.",0.025,0.077,0.898,0.3612,"['all', 'troop', 'carriers', 'will', 'assemble', 'at', 'the', 'north', 'entrance', 'the', 'heavy', 'transport', 'ships', 'will', 'leave', 'as', 'soon', 'as', 'they', 'loaded', 'only', 'two', 'fighter', 'escorts', 'per', 'ship', 'the', 'energy', 'shield', 'can', 'only', 'be', 'opened', 'for', 'a', 'short', 'time', 'so', 'you', 'have', 'to', 'stay', 'very', 'close', 'to', 'your', 'transports']",0.35877862595419846
124,LEIA,"The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?",0.143,0.107,0.751,-0.3612,"['the', 'ion', 'cannon', 'will', 'fire', 'several', 'shots', 'to', 'make', 'sure', 'that', 'any', 'enemy', 'ships', 'will', 'be', 'out', 'of', 'your', 'flight', 'path', 'when', 'you', 'gotten', 'past', 'the', 'energy', 'shield', 'proceed', 'directly', 'to', 'the', 'rendezvous', 'point', 'understood']",0.26717557251908397
125,LEIA,Good luck.,0.0,1.0,0.0,0.7096,"['good', 'luck']",0.015267175572519083
126,LUKE,"Just like new, Dack. How about you?",0.0,0.294,0.706,0.3612,"['just', 'like', 'new', 'dack', 'how', 'about', 'you']",0.05343511450381679
127,LUKE,I know what you mean.,0.0,0.0,1.0,0.0,"['i', 'know', 'what', 'you', 'mean']",0.03816793893129771
128,LUKE,Echo station Five-Seven. We're on our way.,0.0,0.0,1.0,0.0,"['echo', 'station', 'we', 'on', 'our', 'way']",0.04580152671755725
129,LUKE,"All right, boys, keep tight now.",0.0,0.0,1.0,0.0,"['all', 'right', 'boys', 'keep', 'tight', 'now']",0.04580152671755725
130,LUKE,"Steady, Dack. Attack pattern delta. Go now!",0.361,0.0,0.639,-0.5255,"['steady', 'dack', 'attack', 'pattern', 'delta', 'go', 'now']",0.05343511450381679
131,LUKE,"All right, I'm coming in.",0.0,0.0,1.0,0.0,"['all', 'right', 'i', 'coming', 'in']",0.03816793893129771
132,LUKE,"Hobbie, you still with me?",0.0,0.0,1.0,0.0,"['hobbie', 'you', 'still', 'with', 'me']",0.03816793893129771
133,LUKE,That armor's too strong for blasters.,0.0,0.398,0.602,0.5106,"['that', 'armor', 'too', 'strong', 'for', 'blasters']",0.04580152671755725
134,LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack.",0.058,0.072,0.87,0.1027,"['rouge', 'group', 'use', 'your', 'harpoons', 'and', 'tow', 'cables', 'go', 'for', 'the', 'legs', 'it', 'might', 'be', 'our', 'only', 'chance', 'of', 'stopping', 'them', 'all', 'right', 'stand', 'by', 'dack']",0.1984732824427481
135,LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",0.151,0.157,0.692,0.0258,"['just', 'hang', 'on', 'hang', 'on', 'dack', 'get', 'ready', 'to', 'fire', 'that', 'tow', 'cable']",0.09923664122137404
136,LUKE,Dack? Dack!,0.0,0.0,1.0,0.0,"['dack', 'dack']",0.015267175572519083
137,LUKE,Rouge Three.,0.0,0.0,1.0,0.0,"['rouge', 'three']",0.015267175572519083
138,LUKE,"Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass.",0.091,0.0,0.909,-0.3182,"['wedge', 'i', 'lost', 'my', 'gunner', 'you', 'have', 'to', 'make', 'this', 'shot', 'i', 'cover', 'for', 'you', 'set', 'your', 'harpoon', 'follow', 'me', 'on', 'the', 'next', 'pass']",0.183206106870229
139,LUKE,"Steady, Rouge Two",0.0,0.0,1.0,0.0,"['steady', 'rouge', 'two']",0.022900763358778626
140,LUKE,"I see it, Wedge. Good work.",0.0,0.42,0.58,0.4404,"['i', 'see', 'it', 'wedge', 'good', 'work']",0.04580152671755725
141,LEIA,"It's risky, but we can't hold out much longer. We have no  choice.",0.276,0.0,0.724,-0.4939,"['it', 'risky', 'but', 'we', 'ca', 'hold', 'out', 'much', 'longer', 'we', 'have', 'no', 'choice']",0.09923664122137404
142,LEIA,Evacuate remaining ground staff.,0.0,0.0,1.0,0.0,"['evacuate', 'remaining', 'ground', 'staff']",0.030534351145038167
143,HAN,"No, no! No! This one goes there, that one goes there. right?",0.444,0.0,0.556,-0.7339,"['no', 'no', 'no', 'this', 'one', 'goes', 'there', 'that', 'one', 'goes', 'there', 'right']",0.0916030534351145
